Asia,Central America and the Caribbean,Sub-Saharan Africa,Middle East and North Africa,North America,Australia and Oceania,Europe
Taiwan,Saint Vincent and the Grenadines,Sudan,United Arab Emirates,Canada,Nauru,Macedonia
Bhutan,Saint Lucia,Ethiopia,Kuwait,Greenland,Papua New Guinea,Belarus
Indonesia,Dominican Republic,Gabon,Iran,United States of America,Tuvalu,Spain
Brunei,Cuba,Mauritania,Iraq,Mexico,Samoa ,Hungary
Maldives,Costa Rica,Uganda,Bahrain,,Australia,Bosnia and Herzegovina
Cambodia,Panama,Central African Republic,Somalia,,Federated States of Micronesia,Greece
Uzbekistan,Haiti,South Africa,Oman,,Tonga,Liechtenstein
Bangladesh,The Bahamas,Eritrea,Yemen,,Palau,Iceland
Myanmar,Barbados,Democratic Republic of the Congo,Jordan,,East Timor,Georgia
Philippines,Antigua and Barbuda ,Rwanda,Algeria,,Fiji,Cyprus
Tajikistan,Jamaica,Lesotho,Saudi Arabia,,Vanuatu,Switzerland
Vietnam,Guatemala,The Gambia,Afghanistan,,Kiribati,Germany
Kyrgyzstan,Trinidad and Tobago,Kenya,Azerbaijan,,New Zealand,Netherlands
China,Nicaragua,Togo,Israel,,Solomon Islands,Lithuania
Laos,El Salvador,Sierra Leone,Lebanon,,Marshall Islands,Malta
India,Saint Kitts and Nevis ,Cote d'Ivoire,Tunisia ,,,France
Sri Lanka,Grenada,Mozambique,Libya,,,Luxembourg
North Korea,Honduras,Madagascar,Turkey,,,Croatia
Japan,Dominica,Swaziland,Pakistan,,,Denmark
South Korea,Belize,Malawi,Qatar,,,Romania
Malaysia,,Equatorial Guinea,Egypt,,,Armenia
Nepal,,Cape Verde,Morocco,,,Albania
Turkmenistan,,Mali,Syria,,,Estonia
Kazakhstan,,Burundi,,,,Russia
Singapore,,Zambia,,,,Kosovo
Mongolia,,Senegal,,,,Slovenia
Thailand,,Zimbabwe,,,,Italy
,,Guinea-Bissau,,,,Norway
,,Comoros,,,,Austria
,,Benin,,,,Czech Republic
,,Seychelles ,,,,Latvia
,,Botswana,,,,United Kingdom
,,Chad,,,,Montenegro
,,Guinea,,,,Finland
,,Republic of the Congo,,,,Serbia
,,Tanzania,,,,Moldova 
,,Nigeria,,,,Ireland
,,Mauritius ,,,,San Marino
,,Angola,,,,Monaco
,,Sao Tome and Principe,,,,Slovakia
,,Namibia,,,,Andorra
,,Ghana,,,,Ukraine
,,South Sudan,,,,Sweden
,,Djibouti,,,,Portugal
,,Niger,,,,Bulgaria
,,Burkina Faso,,,,Belgium
,,Cameroon,,,,Poland
,,Liberia,,,,Vatican City
